Location;Product;Date;Customer;Quantity
2621;83730220;20170101;MAKRO MARKET A.S. (KONYA);2,1
2621;83730220;20170101;MAKRO MARKET A.S.(SAMSUN);3,5
2621;83730220;20170101;MIGROS A.S.-(GEBZE MERKEZ XDOC;55,3
2621;83730220;20170101;MIGROS A.S.-(SARAY ANKARA);32,9
2621;83730220;20170101;MIGROS ANTALYA SERIK DEPO;14,7
2621;83730220;20170101;MIGROS AS-(PINARBASI) (TANSAS);18,9
2621;83730220;20170101;MIGROS ERZURUM DEPO;21
2621;83730220;20170101;MIGROS ESENYURT DAG.MERK.;21
2621;83730220;20170101;MIGROS MUGLA MERKEZ DEPO;10,5
2621;83730220;20170101;MIGROS T.A.S.-ADANA;17,5
2621;83730220;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;23,1
2621;83730220;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;53,9
2621;83730220;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;215,6
2621;83730220;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;15,4
2621;83730220;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;30,1
2621;83730220;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;10,5
2621;83730220;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;8,4
2621;83730220;20170101;TESCO KIPA KITLE PAZARLAMA TIC;7,7
2621;83730220;20170101;YONTEM - ECOMMERCE;53,9
2621;83731511;20170101;YONTEM - ECOMMERCE;96
2621;83731511;20170101;YONTEM KOZMETIK ANONIM SIRKETI;48
2621;83731520;20170101;ADNAN ANTEP;25
2621;83731520;20170101;ADNAN TIC.PAZ. AS-MALATYA;20
2621;83731520;20170101;ADNAN TIC.PAZ. AS-MERSIN;14
2621;83731520;20170101;AYKANLAR GD SN TIC.AS-KONYA;10
2621;83731520;20170101;AYKANLAR IZMIR YENI;120
2621;83731520;20170101;AYKANLAR KOZMETIK TICARET VE P;38
2621;83731520;20170101;AYKANLAR-ADESE ANKARA;2
2621;83731520;20170101;AYKANLAR-HPK;7
2621;83731520;20170101;AYKANLAR-OZM;50
2621;83731520;20170101;ECZACIBASI-HAKAN LOJISTIK;44
2621;83731520;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;87
2621;83731520;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;17
2621;83731520;20170101;HEDEF HADIMKOY;245
2621;83731520;20170101;HEDEF-CAGRI SANCAKTEPE;100
2621;83731520;20170101;MAKRO MARKET A.S. # UYUM (ISTA;25
2621;83731520;20170101;MAKRO MARKET A.S. (KONYA);5
2621;83731520;20170101;MAKRO MARKET A.S.(SAMSUN);10
2621;83731520;20170101;MIGROS A.S.-(GEBZE MERKEZ XDOC;52
2621;83731520;20170101;MIGROS A.S.-(SARAY ANKARA);11
2621;83731520;20170101;MIGROS ANTALYA SERIK DEPO;30
2621;83731520;20170101;MIGROS AS-(PINARBASI) (TANSAS);25
2621;83731520;20170101;MIGROS ERZURUM DEPO;18
2621;83731520;20170101;MIGROS ESENYURT DAG.MERK.;26
2621;83731520;20170101;MIGROS MUGLA MERKEZ DEPO;50
2621;83731520;20170101;MIGROS T.A.S.-ADANA;35
2621;83731520;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;15
2621;83731520;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;11
2621;83731520;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;16
2621;83731520;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;14
2621;83731520;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;22
2621;83731520;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;53
2621;83731520;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;27
